,names,values
1196,John C. Reilly,0.0019994866510155604
11118,Jee-woon Kim,0.0019958636820572428
2193,Steven Soderbergh,0.001985697634191644
2539,Steve Golin,0.0019788554758845187
762,Tommy Lee Jones,0.001975653322894515
2480,Gabriel Yared,0.0019606253405548245
1173,Jim Carrey,0.0019602666234080275
7619,Olivia Wilde,0.001958311163743124
5873,Paul Giamatti,0.001956972051331866
1720,Tom Cruise,0.0019476134539742347
6606,Lance Henriksen,0.00193999363146122
12808,Catherine Deneuve,0.001938327139735476
1179,Uma Thurman,0.0019323290657012923
2392,Kevin Kline,0.0019278796791433162
163,Val Kilmer,0.0019221318437922699
3737,Cameron Diaz,0.0019184483100377163
3101,Samuel Hadida,0.0019052710459470017
1174,George Clooney,0.0019022782971159992
2874,Jennifer Aniston,0.0018879451384440397
2523,Marion Cotillard,0.0018808263398341055
1729,Dermot Mulroney,0.0018806771445398244
1722,Martin Scorsese,0.0018757985127032003
9657,Donnie Yen,0.0018706985182454369
2471,Vince Vaughn,0.0018683764990698492
24735,Aamir Khan,0.0018673978930727518
5843,Ben Foster,0.001854938977413454
8812,Jamie Bell,0.0018454368628974002
9040,Stephen Dorff,0.0018430705863521502
170,Robert Duvall,0.0018387731049703177
458,Diane Lane,0.001829555870772449
5998,Carice van Houten,0.0018286338038804191
5459,Simon Boswell,0.001816253014035622
25665,Ryan Kwanten,0.0018150114987828935
4363,Alain Sarde,0.0018130189570022758
1193,Ray Liotta,0.001807043362790205
5551,Laurence Fishburne,0.0018004861731070656
7353,Bruno Ganz,0.0017997347024551894
5466,Timur Bekmambetov,0.0017993796080563197
19343,Amitabh Bachchan,0.0017970648554947912
6694,Rebecca Hall,0.0017958485911859026
2875,Jennifer Connelly,0.0017940861145043392
2190,Yun-Fat Chow,0.0017930810348990027
3609,Thomas Kretschmann,0.0017913853421273954
6021,Peter Sarsgaard,0.0017825417502536967
3644,Rodrigo Santoro,0.001776847067154354
5106,Liev Schreiber,0.0017751629029600037
1202,Kate Winslet,0.0017745386410438183
1731,Reese Witherspoon,0.001769723486457011
3736,Drew Barrymore,0.0017608586102898203
791,Josh Brolin,0.0017555601123362275
5865,Olivier Delbosc,0.001750045244304094
6624,Emir Kusturica,0.0017397378055851176
4457,Viggo Mortensen,0.0017385457717021687
782,Wesley Snipes,0.0017322839398835786
6035,Emily Blunt,0.0017305218408672544
2459,Kirsten Dunst,0.001726616468874457
14513,Mads Mikkelsen,0.0017238424558221864
5021,Teresa Palmer,0.0017200126596726565
6110,Michelle Williams,0.0017180433128988581
2498,Lawrence Bender,0.0017130671704085252
33620,Ki-duk Kim,0.0017127344945105634
3742,John Leguizamo,0.0017031053700930384
2887,Aaron Eckhart,0.001683302532673246
9112,Hugh Jackman,0.001679103844626034
19474,John Abraham,0.0016775224546438704
2189,Li Gong,0.0016752479958233018
6983,Moshe Diamant,0.0016745954109148099
24099,Naseeruddin Shah,0.0016642120591688998
4282,Owen Wilson,0.00166401389429391
4309,Bruce Davey,0.0016625171457419537
3563,Bernd Eichinger,0.0016611717235863195
